ConferenceName,Top3Papers,Citations
International Conference on Intelligent Transportation Systems,['Bayesian Optimization for Crowd Traffic Control Using MultiAgent Simulation'],[0]
International Conference on Intelligent User Interfaces,['Avoiding drilldown fallacies with VisPilot assisted exploration of data subsets'],[0]
International Conference on Intelligent Virtual Agents,['Learning Speechdriven 3D Conversational Gestures from Video'],[1]
International Conference on Knowledge and Smart Technology,['A Fast Attribute Reduction Algorithm of Neighborhood Rough Set'],[0]
International Conference on Machine Learning,['When Does SelfSupervision Help Graph Convolutional Networks'],[4]
International Conference on Machine Learning and Applications,"['Leveraging SemiSupervised Learning for Fairness using Neural Networks', 'Quantifying Cognitive Load from Voice using TransformerBased Models and a CrossDataset Evaluation', 'Audiobased Depression Screening using Sliding Window Subclip Pooling']","[0, 0, 0]"
International Conference on Mobile Data Management,"['A Road Segment Attribute Completion System', 'Road Intersection Detection Based on Direction Ratio Statistics Analysis', 'Publishing Sensitive Trajectory Data Under Enhanced lDiversity Model']","[0, 0, 0]"
International Conference on Mobile and Ubiquitous Systems: Networking and Services,['Speed Prediction on Reallife Traffic Data Deep Stacked Residual Neural Network and Bidirectional LSTM'],[0]
International Conference on Multimedia Retrieval,"['Temporal OrderPreserving Dynamic Quantization for Human Action Recognition from Multimodal Sensor Streams', 'Automatic Image Annotation using Deep Learning Representations', 'Intelligent Task Recognition Towards Enabling Productivity Assistance in Daily Life']","[1, 0, 0]"
International Conference on Multimodal Interaction,"['Grouplevel Speech Emotion Recognition Utilising Deep Spectrum Features', 'Make Your Brief Stroke Real and Stereoscopic 3DAware Simplified Sketch to Portrait Generation']","[0, 0]"
International Conference on Parallel Architectures and Compilation Techniques,['Decoupled Direct Memory Access Isolating CPU and IO Traffic by Leveraging a DualDataPort DRAM'],[0]
International Conference on Parallel Processing,['FastPSO Towards Efficient Swarm Intelligence Algorithm on GPUs'],[0]
International Conference on Parallel and Distributed Systems,['JALAD Joint AccuracyAnd LatencyAware Deep Structure Decoupling for EdgeCloud Execution'],[0]
International Conference on Pattern Recognition,"['Pose Independent Face Recognition by Localizing Local Binary Patterns via Deformation Components', 'Unsupervised MultiDomain Image Translation with DomainSpecific EncodersDecoders', 'Prediction Defaults for Networkedguarantee Loans']","[1, 0, 0]"
International Conference on Software Engineering,['Automated Testing of Software that Uses Machine Learning APIs'],[0]
International Conference on Statistical and Scientific Database Management,"['Regionadaptive Errorcontrolled Scientific Data Compression using Multilevel Decomposition', 'Automatic View Selection in Graph Databases']","[0, 0]"
International Conference on Supercomputing,"['Bring orders into uncertainty enabling efficient uncertain graph processing via novel path sampling on multiaccelerator systems', 'CEAZ accelerating parallel IO via hardwarealgorithm codesigned adaptive lossy compression', 'SoftwareHardware Codesign of Heterogeneous SmartNIC System for Recommendation Models Inference and Training']","[0, 0, 0]"
"International Conference on Trust, Security and Privacy in Computing and Communications",['Graph Encryption for Shortest Path Queries with k Unsorted Nodes'],[0]
International Conference on the Theory of Information Retrieval,"['Simulating CLIR Translation Resource Scarcity using Highresource Languages', 'BERTbased Dense Retrievers Require Interpolation with BM25 for Effective Passage Retrieval', 'Unbiased Learning to Rank Theory and Practice']","[1, 1, 1]"
International Middleware Conference,"['DCert towards secure efficient and versatile blockchain light clients', 'CostEffective Data Feeds to Blockchains via WorkloadAdaptive Data Replication', 'GraPS A Graph PublishSubscribe Middleware']","[0, 0, 0]"
Italian National Conference on Sensors,"['3DAirSig A Framework for Enabling InAir Signatures Using a MultiModal Depth Sensor', 'GraphBased Deep Learning for Medical Diagnosis and Analysis Past Present and Future']","[0, 0]"
Knowledge Discovery and Data Mining,"['GCC Graph Contrastive Coding for Graph Neural Network PreTraining', 'Connecting the Dots Multivariate Time Series Forecasting with Graph Neural Networks', 'Metapathguided Heterogeneous Graph Neural Network for Intent Recommendation']","[40, 26, 22]"
Measurement and Modeling of Computer Systems,['A LargeScale Study of Flash Memory Failures in the Field'],[0]
Neural Information Processing Systems,"['Mixed Membership Stochastic Blockmodels', 'Generalization Bounds for Domain Adaptation', 'Learning to Optimize in Swarms']","[3, 2, 0]"
Pacific Conference on Computer Graphics and Applications,"['Exposure Fusion', 'Radiometric Compensation through Inverse Light Transport']","[0, 0]"
SDM,['DuSK A Dual Structurepreserving Kernel for Supervised Tensor Learning with Applications to Neuroimages'],[0]
"SIBGRAPI Conference on Graphics, Patterns and Images",['Extracting Visual Encodings from Map Chart Images with ColorEncoded Scalar Values'],[0]
The Web Conference,"['Ups and Downs Modeling the Visual Evolution of Fashion Trends with OneClass Collaborative Filtering', 'DRN A Deep Reinforcement Learning Framework for News Recommendation', 'Future Data Helps Training Modeling Future Contexts for Sessionbased Recommendation']","[8, 7, 4]"
Ubiquitous Computing,"['Dynamic clusterbased overdemand prediction in bike sharing systems', 'Finegrained preferenceaware location search leveraging crowdsourced digital footprints from LBSNs', 'PrivCheck privacypreserving checkin data publishing for personalized location based services']","[1, 0, 0]"
"Ubiquitous Computing, Electronics & Mobile Communication Conference",['Automated Structured Threat Information Expression STIX Document Generation with Privacy Preservation'],[0]
"User Modeling, Adaptation, and Personalization",['An OutoftheBox Application for Reproducible Graph Collaborative Filtering extending the Elliot Framework'],[0]
Vision,"['Efficient regression of generalactivity human poses from depth images', 'Learning crossmodality similarity for multinomial data', 'The truth about cats and dogs']","[1, 1, 0]"
Visual Communications and Image Processing,"['Morphology Reconstruction of Obstructed Coronary Artery in Angiographic Images', 'Unsupervised person clustering in videos with crossmodal communication']","[0, 0]"
Web Science Conference,"['SocioEconomic Diversity in Human Annotations', 'Propaganda and Misinformation on Facebook and Twitter during the Russian Invasion of Ukraine', 'Hierarchical Change Point Detection on Dynamic Networks']","[0, 0, 0]"
Web Search and Data Mining,"['PROP Pretraining with Representative Words Prediction for Adhoc Retrieval', 'Towards Longterm Fairness in Recommendation', 'PreTraining Graph Neural Networks for ColdStart Users and Items Representation']","[4, 3, 2]"
